Registro;Frecuencia;Memoria;Observaciones;Localidad;Banda;Fecha;Exportar;Comprobado;Mhz;Khz;S;R;CTCSS;DCS;Repetidor;Offset;SECRA;Modo
74;172.5500;0;Desconocido. Posible Compañía Electrica;N/A;2 m;05/08/2003;VERDADERO;FALSO;172;5500;0;0;;;FALSO;;No;FM
75;462.4000;0;Autobuses;Jaén;70 cm;05/08/2003;VERDADERO;VERDADERO;462;4000;0;0;;;FALSO;;No;FM
76;163.3250;0;"Desconocido Rep: -4.6Mhz CTCSS: 91.5Hz";N/A;2 m;05/08/2003;VERDADERO;FALSO;163;3250;0;0;;;FALSO;;No;FM
77;152.8250;0;N/A Se Escucha Muy bajo;N/A;2 m;05/08/2003;VERDADERO;FALSO;152;8250;0;0;;;FALSO;;No;FM
78;164.0500;0;Ambulancias. Cruz Roja;N/A;2 m;05/08/2003;VERDADERO;FALSO;164;0500;0;0;;;FALSO;;No;FM
79;461.8750;0;Servicio de Ambulancias;Jaén;70 cm;06/08/2003;VERDADERO;VERDADERO;461;8750;0;0;;;FALSO;;No;FM
80;162.2500;0;N/A;N/A;2 m;06/08/2003;VERDADERO;FALSO;162;2500;0;0;;;FALSO;;No;FM
81;173.8250;0;Posibles Trabajadores Sevillana;Linares;2 m;06/08/2003;VERDADERO;FALSO;173;8250;0;0;;;FALSO;;No;FM
82;463.0500;0;Basuras Córdoba;Córdoba;70 cm;06/08/2003;VERDADERO;VERDADERO;463;0500;0;0;;;FALSO;;No;FM
83;167.9000;0;Nueva Busqueda;N/A;2 m;11/08/2003;VERDADERO;FALSO;167;9000;0;0;;;FALSO;;No;FM
84;154.5750;0;Prot. Civil;Bailén;2 m;11/08/2003;VERDADERO;VERDADERO;154;5750;0;0;;;FALSO;;No;FM
85;167.4750;0;Nueva Busqueda;N/A;2 m;11/08/2003;VERDADERO;FALSO;167;4750;0;0;;;FALSO;;No;FM
86;160.9250;0;Transporte de Arena;N/A;2 m;11/08/2003;VERDADERO;FALSO;160;9250;0;0;;;FALSO;;No;FM
87;173.7000;0;Usan otro tipo de modulacion.;N/A;2 m;12/08/2003;VERDADERO;FALSO;173;7000;0;0;;;FALSO;;No;FM
88;152.3750;0;Rep: -4.6 CTCSS:107.2;N/A;2 m;12/08/2003;VERDADERO;FALSO;152;3750;0;0;;;FALSO;;No;FM
89;168.1000;0;Autoescuelas;Linares;2 m;12/08/2003;VERDADERO;VERDADERO;168;1000;0;0;;;FALSO;;No;FM
90;163.6250;0;Autoescuela Marchal?;Linares;2 m;12/08/2003;VERDADERO;FALSO;163;6250;0;0;;;FALSO;;No;FM
91;151.3650;0;Tienda;N/A;2 m;12/08/2003;VERDADERO;FALSO;151;3650;0;0;;;FALSO;;No;FM
92;158.4000;0;N/A Posible Entrada Repetidor;N/A;2 m;13/08/2003;VERDADERO;FALSO;158;4000;0;0;;;FALSO;;No;FM
93;154.2500;0;Nueva Busqueda;N/A;2 m;13/08/2003;VERDADERO;FALSO;154;2500;0;0;;;FALSO;;No;FM
94;171.5350;0;Sevillana;N/A;2 m;13/08/2003;VERDADERO;FALSO;171;5350;0;0;;;FALSO;;No;FM
95;151.8750;33;Vigilantes Santana Motor;Linares;2 m;13/08/2003;VERDADERO;FALSO;151;8750;0;0;;;FALSO;;No;FM
96;152.1250;31;Emergencias Puertollano;Puertollano;2 m;13/08/2003;VERDADERO;VERDADERO;152;1250;0;0;;;FALSO;;No;FM
97;147.0750;0;Ambulancias;N/A;2 m;13/08/2003;VERDADERO;FALSO;147;0750;0;0;;;FALSO;;No;FM
98;146.7000;0;Repetidor REMER (Autoescuelas, etc);Linares;2 m;14/08/2003;VERDADERO;VERDADERO;146;7000;0;0;;;VERDADERO;-0.600;No;FM
99;163.0100;0;Se escuchan Roger-Beps;N/A;2 m;14/08/2003;VERDADERO;FALSO;163;0100;0;0;;;FALSO;;No;FM
100;167.7250;49;Nueva Busqueda;N/A;2 m;15/08/2003;VERDADERO;FALSO;167;7250;0;0;;;FALSO;;No;FM
101;151.0750;0;Ferreteria Biedma;Úbeda;2 m;17/08/2003;VERDADERO;FALSO;151;0750;0;0;;;FALSO;-----;No;FM
102;439.8250;0;ECO-Link;España;70 cm;20/08/2003;VERDADERO;VERDADERO;439;8250;0;0;;;FALSO;;No;FM
103;145.3500;0;ECO-Link;España;2 m;20/08/2003;VERDADERO;VERDADERO;145;3500;0;0;;;FALSO;;No;FM
104;170.1350;0;Posibles camioneros;N/A;2 m;30/09/2004;VERDADERO;FALSO;170;1350;0;0;;;FALSO;;No;FM
105;132.6750;0;Aviones;Málaga;2 m;29/11/2005;VERDADERO;VERDADERO;132;6750;0;0;;;FALSO;;No;FM
106;172.8300;0;Desconocido;Desconocido;2 m;04/12/2005;VERDADERO;FALSO;172;8300;0;0;;;FALSO;;No;FM
107;132.4750;0;Aeropuerto Sevilla 1;Sevilla;2 m;15/12/2005;VERDADERO;VERDADERO;132;4750;0;0;;;FALSO;;No;FM
108;116.2000;0;MORSE;N/A;2 m;19/12/2005;VERDADERO;FALSO;116;2000;0;0;;;FALSO;;No;FM
109;468.8875;0;Forestales;N/A;70 cm;20/12/2005;VERDADERO;FALSO;468;8875;0;0;;;FALSO;;No;FM
110;463.3335;0;Forestales;N/A;70 cm;20/12/2005;VERDADERO;FALSO;463;3335;0;0;;;FALSO;;No;FM
111;143.3250;0;Loro. Finca. S. Andrés;Desconocido;2 m;20/12/2005;VERDADERO;VERDADERO;143;3250;0;0;;;FALSO;;No;FM
112;162.5000;0;112;N/A;2 m;20/12/2005;VERDADERO;FALSO;162;5000;0;0;;;FALSO;;No;FM
113;134.8000;0;Aeropuerto Sevilla;Sevilla;2 m;22/12/2005;VERDADERO;VERDADERO;134;8000;0;0;;;FALSO;;No;FM
114;150.9750;0;Radio Taxi Ventura;Úbeda;2 m;22/12/2005;VERDADERO;VERDADERO;150;9750;0;0;;;FALSO;;No;FM
115;160.6625;0;Autobuses Urbanos;Jaén;2 m;22/12/2005;VERDADERO;VERDADERO;160;6625;0;0;;;FALSO;;No;FM
116;133.2000;0;Aeropuerto Sevilla 2;Sevilla;2 m;22/12/2005;VERDADERO;VERDADERO;133;2000;0;0;;;FALSO;;No;FM
117;132.6000;0;Aeropuerto Sevilla 6;Sevilla;2 m;22/12/2005;VERDADERO;VERDADERO;132;6000;0;0;;;FALSO;;No;FM
118;132.5500;0;Aviones;Desconocido;2 m;22/12/2005;VERDADERO;VERDADERO;132;5500;0;0;;;FALSO;;No;FM
119;132.9750;0;RADAR;Madrid;2 m;22/12/2005;VERDADERO;VERDADERO;132;9750;0;0;;;FALSO;;No;FM
120;132.9250;0;RADAR;Sevilla;2 m;22/12/2005;VERDADERO;VERDADERO;132;9250;0;0;;;FALSO;;No;FM
121;133.7550;0;Aviones;Desconocido;2 m;22/12/2005;VERDADERO;VERDADERO;133;7550;0;0;;;FALSO;;No;FM
122;164.3000;0;Cruz Roja;Bailén;2 m;22/12/2005;VERDADERO;FALSO;164;3000;0;0;;;FALSO;;No;FM
123;154.4750;0;Entran chiquitos;Desconocido;2 m;22/12/2005;VERDADERO;FALSO;154;4750;0;0;;;FALSO;;No;FM
124;118.8500;0;Aviones Granada APP/TWR;Granada;2 m;26/12/2005;VERDADERO;VERDADERO;118;8500;0;0;;;FALSO;;No;FM
125;145.8000;0;ISS R8 -0.6 Khz. Packet Radio;ISS;2 m;26/12/2005;VERDADERO;FALSO;145;8000;0;0;;;FALSO;;No;FM
126;145.9900;0;Fonia ISS;ISS;2 m;26/12/2005;VERDADERO;VERDADERO;145;9900;0;0;;;FALSO;;No;FM
127;152.4600;0;"Desconocido Rep: -4.6Mhz CTCSS: 141.3hz";N/A;2 m;27/12/2005;VERDADERO;FALSO;152;4600;0;0;;;FALSO;;No;FM
128;122.1000;0;Aviones Albacete APP;Albacete;2 m;27/12/2005;VERDADERO;VERDADERO;122;1000;0;0;;;FALSO;;No;FM
129;133.7500;0;Madrid ACC Sector Toledo;Madrid;2 m;27/12/2005;VERDADERO;VERDADERO;133;7500;0;0;;;FALSO;;No;FM
130;152.3700;0;Nueva Busqueda;N/A;2 m;28/12/2005;VERDADERO;FALSO;152;3700;0;0;;;FALSO;;No;FM
